Driver_ID,Total_Rides_Completed,Earnings_USD,Ride_Acceptance_Rate_%,Ride_Completion_Rate_%,On_time_Pickup_Rate_%,Peak_Hours_Participation_%,Distance_Efficiency_USD_per_Mile,Avg_Pickup_Time_Minutes,Complaint_Free_Rides_%
D001,152,2249.05,87.36,94.23,84.7,45.88,2.91,7.27,91.52
D002,485,1721.07,92.65,99.85,91.08,72.46,1.93,14.84,93.12
D003,398,4229.32,92.67,87.1,86.46,77.3,1.77,10.27,92.48
D004,320,2105.39,90.72,92.77,88.64,69.17,1.53,5.85,97.44
D005,156,1764.21,81.81,98.16,98.54,88.11,2.2,4.22,90.34
D006,121,2942.13,96.71,96.11,84.65,58.74,2.68,4.83,95.7
D007,238,1134.16,86.42,95.46,99.03,54.29,2.28,5.95,97.62
D008,70,4109.89,83.73,95.54,97.63,83.43,2.37,4.93,98.77
D009,152,835.48,80.82,90.39,79.89,51.18,3.31,5.24,93.42
D010,171,4940.99,91.82,89.4,76.73,88.16,2.2,6.42,98.21
D011,264,3975.1,93.55,97.14,77.52,40.61,2.53,5.08,91.11
D012,380,1394.22,80.33,97.15,75.46,88.49,3.07,13.76,98.46
D013,137,524.85,90.24,98.01,77.36,42.16,2.29,3.96,91.27
D014,422,4169.58,84.53,98.7,92.08,84.56,2.74,9.29,93.97
D015,149,3680.86,92.9,92.67,76.78,66.39,3.22,7.92,97.97
D016,409,3780.53,83.49,92.52,82.97,89.65,3.4,14.79,91.5
D017,201,3970.72,93.82,96.97,96.12,43.69,1.79,4.34,92.29
D018,180,833.2,87.73,94.75,75.58,67.69,3.35,7.77,97.22
D019,199,2113.1,98.73,95.53,95.36,88.47,2.48,14.63,97.2
D020,358,1021.41,82.75,96.94,82.05,66.15,2.02,13.39,96.41
D021,307,4383.97,86.82,98.35,77.95,71.47,2.42,12.8,96.94
D022,393,3304.84,82.27,90.07,92.42,74.79,3.46,6.09,95.43
D023,463,1989.04,98.49,90.63,90.72,62.73,2.49,5.05,92.52
D024,343,786.01,97.55,86.41,96.94,71.38,2.16,11.02,93.46
D025,435,1899.42,85.16,93.67,93.38,69.22,2.77,14.15,91.82
D026,241,1963.32,93.2,85.54,95.09,85.06,1.98,9.68,99.08
D027,493,3783.23,96.34,91.98,82.05,42.27,1.65,9.86,95.83
D028,326,3369.01,91.1,93.14,79.44,54.05,1.76,6.36,94.01
D029,210,4492.46,90.59,89.3,93.77,87.52,1.76,12.23,94.62
D030,363,2624.97,84.84,93.86,95.17,84.51,1.8,5.24,99.47
D031,71,1038.17,81.86,85.46,99.76,62.78,1.78,6.88,91.53
D032,302,3709.6,97.94,85.56,85.32,71.01,2.78,8.11,95.86
D033,285,3923.53,98.01,97.34,84.3,53.87,1.86,9.09,95.06
D034,394,3025.75,92.66,90.4,94.41,49.41,2.19,5.91,96.11
D035,98,3969.35,86.78,86.91,83.52,63.18,3.29,4.38,90.18
D036,108,2722.08,86.98,92.83,98.27,57.67,2.45,10.33,98.72
D037,219,2852.3,94.52,96.55,96.46,69.18,2.84,6.46,99.32
D038,237,2423.93,97.94,88.24,85.72,43.89,1.84,9.97,95.65
D039,320,614.39,97.74,94.34,93.77,88.72,1.88,4.85,96.97
D040,239,985.51,95.6,86.28,93.86,89.31,1.58,8.77,99.22
D041,495,641.43,92.84,85.78,77.58,74.91,1.84,9.39,97.07
D042,224,3363.85,81.68,92.97,97.56,66.8,2.06,3.62,91.53
D043,495,1914.6,83.23,93.11,87.63,55.48,1.85,7.04,95.76
D044,100,2788.57,97.97,94.56,95.66,80.69,1.68,4.61,96.07
D045,413,4584.05,92.13,95.89,83.0,74.24,1.74,3.76,94.24
D046,104,1621.82,80.18,99.64,97.39,48.13,2.42,14.88,97.36
D047,293,2346.72,82.03,92.74,84.73,85.55,1.91,6.87,99.34
D048,369,3899.98,93.27,89.84,75.27,81.13,2.23,12.72,99.26
D049,180,1529.59,80.1,96.93,97.63,87.49,2.51,6.06,94.51
D050,356,846.41,83.22,89.06,77.28,76.29,2.88,11.18,91.13
D051,184,1803.88,90.97,91.58,82.98,70.67,1.58,12.12,99.85
D052,70,1225.5,93.84,86.18,98.75,60.91,3.1,10.15,98.39
D053,378,4683.64,93.04,85.38,98.77,86.64,2.76,8.66,91.25
D054,216,4136.54,84.49,99.44,89.34,83.3,1.66,7.94,99.21
D055,323,3350.32,94.24,97.54,90.8,42.26,3.25,7.19,98.7
D056,437,4421.57,84.74,95.44,86.21,41.32,3.34,14.15,95.19
D057,138,4116.52,86.51,91.13,82.33,58.82,1.62,12.97,95.91
D058,365,1339.57,94.93,87.6,83.22,80.53,2.05,14.58,93.99
D059,63,4516.52,92.99,87.35,91.81,89.36,3.11,4.49,90.55
D060,291,2927.04,96.98,88.75,93.81,47.52,3.0,11.77,93.35
D061,314,4133.48,93.15,93.24,94.79,69.71,1.87,14.26,98.03
D062,395,4532.41,91.37,95.72,94.74,59.04,1.92,5.17,90.05
D063,102,1931.02,81.87,94.9,77.28,88.5,2.24,3.8,93.33
D064,435,995.23,87.35,89.2,87.36,82.11,2.47,11.89,93.98
D065,389,1525.71,85.3,99.32,76.44,81.92,2.74,9.89,95.37
D066,141,2421.99,84.88,96.07,88.74,63.43,2.24,13.1,99.2
D067,416,4181.07,99.46,93.32,86.04,60.74,2.43,4.68,93.46
D068,493,4373.29,87.86,94.18,97.19,53.67,2.99,12.54,93.47
D069,477,531.28,97.84,91.29,83.77,42.82,1.57,5.42,97.38
D070,313,2798.36,92.62,88.72,77.93,83.24,2.0,4.96,94.52
D071,480,2378.35,95.9,90.34,78.57,80.65,2.93,4.97,92.25
D072,84,1499.49,90.05,96.37,94.04,89.99,3.29,12.77,94.52
D073,255,1039.39,91.54,85.22,90.46,89.83,2.52,10.98,91.41
D074,130,2019.27,89.85,86.74,77.53,67.77,2.56,9.28,91.76
D075,469,4743.09,83.9,85.69,77.1,78.45,1.71,7.31,94.98
D076,99,1954.41,94.45,85.61,92.52,87.24,2.39,13.53,94.19
D077,409,2834.56,85.62,97.83,76.82,82.48,2.57,7.71,99.15
D078,437,3663.59,80.49,95.55,95.55,52.37,1.98,12.8,93.62
D079,51,2136.33,92.91,92.11,92.66,62.53,2.04,8.27,95.81
D080,439,4873.02,83.54,86.47,77.03,46.46,2.25,7.52,96.32
D081,103,4831.01,98.81,92.37,77.12,87.7,1.54,8.55,90.13
D082,155,1633.02,99.08,92.1,99.67,70.31,2.14,6.62,96.64
D083,309,2737.62,98.3,87.6,84.36,51.43,1.92,11.97,91.78
D084,359,1853.95,87.4,91.51,84.27,73.59,2.15,9.03,99.61
D085,240,1781.78,80.31,90.98,95.32,70.91,1.74,5.79,91.49
D086,451,665.99,98.57,94.24,98.68,57.91,3.28,13.79,94.15
D087,267,3243.04,88.56,94.53,99.65,45.68,2.69,7.61,90.85
D088,93,2762.06,99.33,85.68,93.83,73.58,2.86,9.52,99.97
D089,211,731.65,99.27,90.62,84.41,66.02,3.08,13.88,95.02
D090,251,1753.91,97.06,94.39,77.09,78.62,2.5,10.49,95.95
D091,495,4587.2,85.89,92.55,94.43,66.01,1.67,4.4,90.67
D092,319,1578.03,87.7,97.85,88.96,82.61,2.57,14.28,97.5
D093,400,1152.03,97.02,94.88,85.61,67.6,2.67,10.53,92.1
D094,353,2702.54,86.34,87.44,97.66,68.05,2.99,7.02,98.98
D095,320,4935.43,83.39,86.06,77.78,83.83,2.36,4.67,92.05
D096,264,1589.25,91.14,94.64,87.32,60.17,1.76,12.53,91.91
D097,301,3524.61,98.72,85.4,75.28,46.7,2.07,10.44,90.37
D098,239,3927.29,93.92,93.79,86.72,41.44,2.23,9.4,94.72
D099,345,1569.37,91.4,99.1,76.41,77.76,2.79,13.73,95.65
D100,262,3776.97,81.94,93.63,77.97,71.02,2.64,12.46,90.66
