Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Shantala Nagar,"24,01,161","23,84,599","20,67,653","8,56,568","8,41,607","4,74,271",99.30%,86.70%,41.40%,98.30%,"3,67,010",43.60%,19.80%,"₹7,11,77,412",7.48,₹138.74,"38,63,534",12.9743201,77.5713592
Doddakanahalli,"17,27,250","17,11,471","14,56,511","5,96,480","5,87,089","3,50,792",99.10%,85.10%,40.90%,98.40%,"2,36,139",40.20%,20.30%,"₹5,92,11,778",9.02,₹159.54,"33,54,728",12.8877198,77.69982279254712
Agara,"12,26,026","12,14,797","10,43,176","5,20,539","5,08,562","3,36,728",99.10%,85.90%,49.90%,97.70%,"1,71,714",33.80%,27.50%,"₹4,75,68,017",7.63,₹137.67,"26,33,026",12.9234202,77.6516783
Koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.10%,85.80%,53.10%,97.50%,"1,80,001",34.90%,28.60%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.9582149,77.64133100000001
Adugodi,"11,91,234","11,82,173","10,05,962","5,36,543","5,22,711","3,13,312",99.20%,85.10%,53.30%,97.40%,"2,09,053",40.00%,26.30%,"₹4,38,90,701",7.02,₹131.45,"23,38,615",12.952282,77.6053196
Suddagunte Palya,"13,20,628","13,08,932","11,26,624","5,42,706","5,30,825","2,96,399",99.10%,86.10%,48.20%,97.80%,"2,34,284",44.10%,22.40%,"₹3,94,11,590",7.11,₹129.98,"21,74,999",12.9303921,77.60755493947676
Vasanth Nagar,"9,62,005","9,55,421","7,95,373","4,23,856","4,16,058","2,62,534",99.30%,83.20%,53.30%,98.20%,"1,53,393",36.90%,27.30%,"₹3,59,20,222",7.4,₹132.98,"20,32,705",12.9934283,77.5902145
Bellanduru,"13,65,703","13,54,563","11,76,030","4,47,575","4,40,185","2,57,849",99.20%,86.80%,38.10%,98.30%,"1,82,240",41.40%,18.90%,"₹4,46,94,374",9.17,₹160.63,"25,50,817",12.919442501045454,77.6855253
Hoysala Nagar,"7,03,222","6,98,197","5,86,782","3,31,654","3,26,166","2,17,110",99.30%,84.00%,56.50%,98.30%,"1,08,961",33.40%,30.90%,"₹2,78,98,914",6.37,₹119.80,"15,04,039",12.9802093,77.6273767
Byrasandra,"6,24,214","6,18,914","5,00,722","3,14,383","3,08,615","2,08,058",99.20%,80.90%,62.80%,98.20%,"1,00,479",32.60%,33.30%,"₹2,47,00,142",6.28,₹113.20,"13,72,034",13.0200235,77.6092887
